label,session_id,capture_mode,timestamp_utc,timestamp_ms,camera_id,bbox_area,sharpness,bright_ratio,distance_bucket,mirror,frame_delta,bbox_delta,dedup_strategy,path
B,B_manual_single,auto,2026-02-13T16:37:34.963576+00:00,1771000654963,0,0.350525,22.2392,0.000944,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000654963_001.jpg
B,B_manual_single,auto,2026-02-13T16:37:59.705518+00:00,1771000679705,0,0.352365,16.5385,0.000231,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000679705_001.jpg
B,B_manual_single,auto,2026-02-13T16:39:05.478977+00:00,1771000745478,0,0.369644,4.0972,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000745478_001.jpg
B,B_manual_single,auto,2026-02-13T16:39:37.817147+00:00,1771000777817,0,0.368261,23.5841,0.001835,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000777817_001.jpg
B,B_manual_single,auto,2026-02-13T16:39:55.919074+00:00,1771000795919,0,0.365545,22.8848,0.00203,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000795919_001.jpg
B,B_manual_single,auto,2026-02-13T16:40:26.477280+00:00,1771000826477,0,0.348502,22.8487,0.002153,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000826477_001.jpg
B,B_manual_single,auto,2026-02-13T16:41:39.166684+00:00,1771000899166,0,0.333801,21.6871,0.002104,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000899166_001.jpg
B,B_manual_single,auto,2026-02-13T16:42:08.299285+00:00,1771000928299,0,0.289747,24.4192,0.000513,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771000928299_001.jpg
B,B_manual_single,auto,2026-02-13T16:43:51.766248+00:00,1771001031766,0,0.28988,6.2999,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001031766_001.jpg
B,B_manual_single,auto,2026-02-13T16:44:26.367814+00:00,1771001066367,0,0.281631,23.4475,0.000204,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001066367_001.jpg
B,B_manual_single,auto,2026-02-13T16:44:37.487677+00:00,1771001077487,0,0.299264,20.6426,0.000221,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001077487_001.jpg
B,B_manual_single,auto,2026-02-13T16:44:57.556823+00:00,1771001097556,0,0.301691,21.7682,5.8e-05,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001097556_001.jpg
B,B_manual_single,auto,2026-02-13T16:45:14.389668+00:00,1771001114389,0,0.281402,21.2529,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001114389_001.jpg
B,B_manual_single,auto,2026-02-13T16:45:24.181140+00:00,1771001124181,0,0.271178,22.9904,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001124181_001.jpg
B,B_manual_single,auto,2026-02-13T16:56:07.106946+00:00,1771001767106,0,0.237873,6.503,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001767106_001.jpg
B,B_manual_single,auto,2026-02-13T16:56:19.253183+00:00,1771001779253,0,0.278727,26.4333,0.000893,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001779253_001.jpg
B,B_manual_single,auto,2026-02-13T16:56:39.632864+00:00,1771001799632,0,0.432622,21.4101,0.000837,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001799632_001.jpg
B,B_manual_single,auto,2026-02-13T16:56:48.616180+00:00,1771001808616,0,0.274167,20.5392,0.000403,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771001808616_001.jpg
B,B_manual_single,auto,2026-02-13T17:01:08.951851+00:00,1771002068951,0,0.26793,23.3415,1.8e-05,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002068951_001.jpg
B,B_manual_single,auto,2026-02-13T17:02:19.049322+00:00,1771002139049,0,0.262656,19.5663,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002139049_001.jpg
B,B_manual_single,auto,2026-02-13T17:02:53.942403+00:00,1771002173942,0,0.26125,13.5775,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002173942_001.jpg
B,B_manual_single,auto,2026-02-13T17:03:23.261336+00:00,1771002203261,0,0.254117,23.4793,2.5e-05,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002203261_001.jpg
B,B_manual_single,auto,2026-02-13T17:03:39.439794+00:00,1771002219439,0,0.261184,26.9087,0.000126,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002219439_001.jpg
B,B_manual_single,auto,2026-02-13T17:03:57.772020+00:00,1771002237772,0,0.26425,23.638,5.3e-05,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002237772_001.jpg
B,B_manual_single,auto,2026-02-13T17:04:15.706827+00:00,1771002255706,0,0.249912,25.2491,4.8e-05,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002255706_001.jpg
B,B_manual_single,auto,2026-02-13T17:04:50.170294+00:00,1771002290170,0,0.286554,16.652,8.3e-05,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002290170_001.jpg
B,B_manual_single,auto,2026-02-13T17:05:16.557836+00:00,1771002316557,0,0.309095,17.7056,0.000973,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002316557_001.jpg
B,B_manual_single,auto,2026-02-13T17:05:36.170026+00:00,1771002336170,0,0.252544,22.376,0.000166,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002336170_001.jpg
B,B_manual_single,auto,2026-02-13T17:06:12.127039+00:00,1771002372127,0,0.25344,9.5217,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002372127_001.jpg
B,B_manual_single,auto,2026-02-13T17:07:17.574053+00:00,1771002437574,0,0.255817,31.778,4e-06,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/B/B_manual_single/1771002437574_001.jpg
