label,session_id,capture_mode,timestamp_utc,timestamp_ms,camera_id,bbox_area,sharpness,bright_ratio,distance_bucket,mirror,frame_delta,bbox_delta,dedup_strategy,path
Б,B_protocol_v1,auto,2026-02-11T17:03:08.515134+00:00,1770829388515,0,0.325467,3.321,0.0,near,True,,,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829388515_001.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:09.525115+00:00,1770829389525,0,0.375443,4.1008,0.0,near,True,62.216953,0.049976,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829389525_002.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:10.600047+00:00,1770829390600,0,0.555708,4.6235,0.0,near,True,18.890078,0.180266,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829390600_003.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:11.662902+00:00,1770829391662,0,0.534305,5.5906,0.0,near,True,10.881055,0.021403,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829391662_004.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:14.796581+00:00,1770829394796,0,0.432614,5.955,0.0,near,True,18.557266,0.101691,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829394796_005.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:15.865276+00:00,1770829395865,0,0.445643,5.133,0.0,near,True,18.582617,0.013028,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829395865_006.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:16.929381+00:00,1770829396929,0,0.491152,3.9347,0.0,near,True,18.63418,0.045509,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829396929_007.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:17.969129+00:00,1770829397969,0,0.525753,3.6212,0.0,near,True,33.796486,0.034601,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829397969_008.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:18.978336+00:00,1770829398978,0,0.651501,5.4164,0.001164,near,True,34.750389,0.125747,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829398978_009.jpg
Б,B_protocol_v1,auto,2026-02-11T17:03:19.990122+00:00,1770829399990,0,0.580635,4.377,0.0,near,True,22.37793,0.070866,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/Б/B_protocol_v1/1770829399990_010.jpg
