label,session_id,capture_mode,timestamp_utc,timestamp_ms,camera_id,bbox_area,sharpness,bright_ratio,distance_bucket,mirror,frame_delta,bbox_delta,dedup_strategy,path
М,M_protocol_v1,auto,2026-02-11T17:10:23.742558+00:00,1770829823742,0,0.485328,8.6053,3e-05,near,True,14.62293,0.016296,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829823742_004.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:24.801278+00:00,1770829824801,0,0.366078,10.5986,3e-06,near,True,20.340664,0.11925,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829824801_005.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:25.804801+00:00,1770829825804,0,0.310174,10.4892,0.0,near,True,18.816484,0.055904,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829825804_006.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:26.875869+00:00,1770829826875,0,0.339657,8.5869,0.0,near,True,12.008086,0.029483,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829826875_007.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:27.939220+00:00,1770829827939,0,0.418864,8.5151,3.3e-05,near,True,23.390469,0.079208,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829827939_008.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:28.945911+00:00,1770829828945,0,0.429918,9.4558,1.1e-05,near,True,8.777929,0.011053,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829828945_009.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:29.978822+00:00,1770829829978,0,0.449076,8.7733,0.0,near,True,24.580547,0.019159,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829829978_010.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:31.009683+00:00,1770829831009,0,0.451336,7.4637,1.1e-05,near,True,9.294648,0.00226,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829831009_011.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:35.555867+00:00,1770829835555,0,0.434395,5.5681,0.0,near,True,18.473749,0.071736,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829835555_014.jpg
М,M_protocol_v1,auto,2026-02-11T17:10:36.557753+00:00,1770829836557,0,0.321167,4.2279,0.0,near,True,18.08918,0.113228,min_interval+pose_change,/Users/mariaburtseva/Documents/проект грант/mvp1/SuperLuchito--SimpleGesture2Letter-Model-Version-2/backend/gallery/М/M_protocol_v1/1770829836557_015.jpg
